dex_number,name,form,evolves_from_id,evolves_from_form,type1,type2,stage,ability1,ability2,hidden_ability,hp,attack,defense,sp_attack,sp_defense,speed,evolution_method,mega,obtain_method,description
668,Mega Pyroar,Mega,668,,Fire,Normal,mega,Rivalry,Unnerve,Moxie,86,88,92,129,86,126,Pyroarite,"Stage 1",,
725,Litten,,,,Fire,,base,Blaze,,Intimidate,45,65,40,60,40,70,,,,
726,Torracat,,725,,Fire,,evo,Blaze,,Intimidate,65,85,50,80,50,90,"Level 17",,,
727,Incineroar,,726,,Fire,Dark,evo,Blaze,,Intimidate,95,115,90,80,90,60,"Level 34",,,
607,Litwick,,,,Ghost,Fire,base,Flash Fire,Flame Body,Infiltrator,50,30,55,65,55,20,,"Stage 2",,
608,Lampent,,607,,Ghost,Fire,evo,Flash Fire,Flame Body,Infiltrator,60,40,60,95,60,55,"Level 41 (Guru)","Stage 2",,
609,Chandelure,,608,,Ghost,Fire,evo,Flash Fire,Flame Body,Infiltrator,60,55,90,145,90,80,"Dusk Stone","Stage 2",,
609,Mega Chandelure,Mega,609,,Ghost,Fire,mega,Flash Fire,Flame Body,Infiltrator,60,75,110,175,110,90,Chandelurite,"Stage 2",,
270,Lotad,,,,Water,Grass,base,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,,,,"Tip: Delayed Evolution\nBy delaying Lotad's evolution until level 18, it can learn Mega Drain before gym 2. Otherwise, you'll be relying on the Bullet Seed TM for Grass STAB until you gain access to the Giga Drain TM."
271,Lombre,,270,,Water,Grass,evo,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,"Level 14",,,
272,Ludicolo,,271,,Water,Grass,evo,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,"Water Stone",,,
66,Machop,,,,Fighting,,base,Guts,No Guard,Steadfast,70,80,50,35,35,35,,,,
67,Machoke,,66,,Fighting,,evo,Guts,No Guard,Steadfast,80,100,70,50,60,45,"Level 28",,,
68,Machamp,,67,,Fighting,,evo,Guts,No Guard,Steadfast,90,130,80,65,85,55,"Linking Cord",,,
240,Magby,,,,Fire,,base,Flame Body,,Vital Spirit,45,75,37,70,55,83,,,,
126,Magmar,,240,,Fire,,evo,Flame Body,,Vital Spirit,65,95,57,100,85,93,"Level 30",,,
467,Magmortar,,126,,Fire,,evo,Flame Body,,Vital Spirit,75,95,67,125,95,83,"Linking Cord",,,
81,Magnemite,,,,Electric,Steel,base,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,,,,
82,Magneton,,81,,Electric,Steel,evo,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,"Level 30",,,
462,Magnezone,,82,,Electric,Steel,evo,Magnet Pull,Sturdy,Analytic,70,70,115,130,90,60,"Thunder Stone",,,
296,Makuhita,,,,Fighting,,base,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,,,,
297,Hariyama,,296,,Fighting,,evo,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,"Level 24",,,
56,Mankey,,,,Fighting,,base,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,,,,"Tip: Rage Fist\nPrimeape's signature move Rage Fist begins at 50 base power and grows stronger each time Primeape is hit.\nHowever, it's been nerfed in Emerald Blitz to cap at 100 base power instead of 350."
57,Primeape,,56,,Fighting,,evo,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,"Level 28",,,
979,Annihilape,,57,,Fighting,Ghost,evo,Vital Spirit,Inner Focus,Defiant,110,115,80,50,90,90,"Level 35",,,
458,Mantyke,,,,Water,Flying,base,Swift Swim,Water Absorb,Water Veil,45,20,50,60,120,50,,,,
226,Mantine,,458,,Water,Flying,evo,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,"Level 20",,,
179,Mareep,,,,Electric,,base,Static,,Plus,55,40,40,65,45,35,,"Stage 2",,"Unique Mechanic: Milk Drink\nWhen used outside of battle, Milk Drink levels up one other Pokémon, ignoring the level cap.\nEach evolution line can only use Milk Drink once, so choose wisely!"
180,Flaaffy,,179,,Electric,,evo,Static,,Plus,70,55,55,80,60,45,"Level 15","Stage 2",,
181,Ampharos,,180,,Electric,,evo,Static,,Plus,90,75,85,115,90,55,"Level 30","Stage 2",,
181,Mega Ampharos,Mega,181,,Electric,Dragon,mega,Mold Breaker,,,90,95,105,165,110,45,Ampharosite,"Stage 2",,
303,Mawile,,,,Steel,Fairy,base,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,,"base",,"Tip: Early Mega Evolution\nMawile and Sableye are the only two Pokémon in Emerald Blitz who can Mega Evolve before the 7th gym. Their Mega stones are available from the start. However, you won't earn enough money to purchase them until after beating gym 3, since they cost a steep 10,000."
303,Mega Mawile,Mega,303,,Steel,Fairy,mega,Huge Power,,,50,105,125,55,95,50,Mawilite,"base",,
307,Meditite,,,,Fighting,Psychic,base,Pure Power,,Telepathy,30,40,55,40,55,60,,"Stage 1",,
308,Medicham,,307,,Fighting,Psychic,evo,Pure Power,,Telepathy,60,60,75,60,75,80,"Level 37 (Oracle)","Stage 1",,
308,Mega Medicham,Mega,308,,Fighting,Psychic,mega,Pure Power,,,60,100,85,80,85,100,Medichamite,"Stage 1",,
52,Meowth,Galar,,,Steel,,base,Pickup,Tough Claws,Unnerve,50,65,55,40,40,40,,,,"Tip: Pay Day\nMeowth's signature move Pay Day is the only way in the game to earn extra money.\nEach use of Pay Day in a gym battle earns you coins equal to 20 times the level of Meowth/Perrserker, up to a maximum of 2000."
863,Perrserker,Galar,52,Galar,Steel,,evo,Battle Armor,Tough Claws,Steely Spirit,70,110,100,50,60,50,"Level 28",,,
198,Murkrow,,,,Dark,Flying,base,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,,,,
430,Honchkrow,,198,,Dark,Flying,evo,Insomnia,Super Luck,Moxie,100,125,52,105,52,71,"Dusk Stone",,,
572,Minccino,,,,Normal,,base,Cute Charm,Technician,Skill Link,55,50,40,40,40,75,,,,
573,Cinccino,,572,,Normal,,evo,Cute Charm,Technician,Skill Link,75,95,60,65,60,115,"Shiny Stone",,,
439,Mime Jr,,,,Psychic,Fairy,base,Soundproof,Filter,Technician,20,25,45,70,90,60,,,,
122,Mr. Mime,,439,,Psychic,Fairy,evo,Soundproof,Filter,Technician,40,45,65,100,120,90,"Level 20 at day",,,
122,Mr. Mime,Galar,439,,Ice,Psychic,evo,Vital Spirit,Screen Cleaner,Ice Body,50,65,65,90,90,100,"Level 20 at night",,,
866,Mr. Rime,,122,Galar,Ice,Psychic,evo,Tangled Feet,Screen Cleaner,Ice Body,80,85,75,110,100,70,"Level 42",,,
774,Minior,,,,Rock,Flying,base,Shields Down,,,60,60,100,60,100,60,,,,"Tip: Rollout!\nMinior is the king of early game sweeps. By starting the fight using Defense Curl, Minior's STAB Rollout starts at 2x power. Then, if Minior drops below half health at any point, its Shields Down ability triggers, increasing its attack and speed stat to all but guarentee that subsequent Rollouts one hit KO."
774,Minior-Core,Core,774,,Rock,Flying,evo,Shields Down,,,60,100,60,100,60,120,"Shields Down",,,
200,Misdreavus,,,,Ghost,,base,Levitate,,,60,60,60,85,85,85,,,,
429,Mismagius,,200,,Ghost,,evo,Levitate,,,60,60,60,105,105,105,"Dusk Stone",,,
755,Morelull,,,,Grass,Fairy,base,Illuminate,Effect Spore,Rain Dish,40,35,55,65,75,15,,,,
756,Shiinotic,,755,,Grass,Fairy,evo,Illuminate,Effect Spore,Rain Dish,60,45,80,90,100,30,"Level 24",,,
749,Mudbray,,,,Ground,,base,Own Tempo,Stamina,Inner Focus,70,100,70,45,55,45,,,,
750,Mudsdale,,749,,Ground,,evo,Own Tempo,Stamina,Inner Focus,100,125,100,55,85,35,"Level 30",,,
258,Mudkip,,,,Water,,base,Torrent,,Damp,50,70,50,50,50,40,,"Stage 2",,
259,Marshtomp,,258,,Water,Ground,evo,Torrent,,Damp,70,85,70,60,70,50,"Level 16","Stage 2",,
260,Swampert,,259,,Water,Ground,evo,Torrent,,Damp,100,110,90,85,90,60,"Level 36","Stage 2",,
446,Munchlax,,,,Normal,,base,Pickup,Thick Fat,Gluttony,135,85,40,40,85,5,,,,
143,Snorlax,,446,,Normal,,evo,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,"Level 30",,,
260,Mega Swampert,Mega,260,,Water,Ground,mega,Swift Swim,,,100,150,110,95,110,70,Swampertite,"Stage 2",,
827,Nickit,,,,Dark,,base,Run Away,Unburden,Stakeout,40,28,28,47,52,50,,,,
828,Thievul,,827,,Dark,,evo,Run Away,Unburden,Stakeout,70,58,58,87,92,90,"Level 18",,,
290,Nincada,,,,Bug,Ground,base,Compound Eyes,,Run Away,31,45,90,30,30,40,,,,"Tip: Shedinja\nWith its Wonder Guard ability, Shedinja is immune to all non-super-effective damage. This makes it excellent into Brawly, who has few options to hit it.\nTo evolve Nincada into both Ninjask and Shedinja, make sure you have an extra spot in your party when it reaches level 20."
291,Ninjask,,290,,Bug,Flying,evo,Speed Boost,,Infiltrator,61,90,45,50,50,160,"Level 20",,,
292,Shedinja,,290,,Bug,Ghost,evo,Wonder Guard,,,1,90,45,30,30,40,"Empty party slot",,,
714,Noibat,,,,Flying,Dragon,base,Frisk,Infiltrator,Telepathy,40,30,35,45,40,55,,,,
715,Noivern,,714,,Flying,Dragon,evo,Frisk,Infiltrator,Telepathy,85,70,80,97,80,123,"Level 48 (Oracle)",,,
299,Nosepass,,,,Rock,,base,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,,,,
476,Probopass,,299,,Rock,Steel,evo,Sturdy,Magnet Pull,Sand Force,60,55,145,75,150,40,"Thunder Stone",,,
322,Numel,,,,Fire,Ground,base,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,,"Stage 1",,
323,Camerupt,,322,,Fire,Ground,evo,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,"Level 33","Stage 1",,
323,Mega Camerupt,Mega,323,,Fire,Ground,mega,Sheer Force,,,70,120,100,145,105,20,Cameruptite,"Stage 1",,
919,Nymble,,,,Bug,,base,Swarm,,Tinted Lens,33,46,40,21,25,45,,,,
920,Lokix,,919,,Bug,Dark,evo,Swarm,,Tinted Lens,71,102,78,52,55,92,"Level 24",,,
43,Oddish,,,,Grass,Poison,base,Chlorophyll,,Run Away,45,50,55,75,65,30,,,,
44,Gloom,,43,,Grass,Poison,evo,Chlorophyll,,Stench,60,65,70,85,75,40,"Level 21",,,
45,Vileplume,,44,,Grass,Poison,evo,Chlorophyll,,Effect Spore,75,80,85,110,90,50,"Leaf Stone",,,
182,Bellossom,,44,,Grass,,evo,Chlorophyll,,Healer,75,80,95,90,100,50,"Sun Stone",,,
95,Onix,,,,Rock,Ground,base,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,,"Stage 1",,
208,Steelix,,95,,Steel,Ground,evo,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,"Metal Coat","Stage 1",,
208,Mega Steelix,Mega,208,,Steel,Ground,mega,Sand Force,,,75,125,230,55,95,30,Steelixite,"Stage 1",,
674,Pancham,,,,Fighting,,base,Iron Fist,Mold Breaker,Scrappy,67,82,62,46,48,43,,,,
675,Pangoro,,674,,Fighting,Dark,evo,Iron Fist,Mold Breaker,Scrappy,95,124,78,69,71,58,"Level 32",,,
513,Pansear,,,,Fire,,base,Gluttony,,Blaze,50,53,48,53,48,64,,,,"Tip: Acrobatics\nFling your held King's Rock at the opponent to flinch them, then use Acrobatics for big damage? Now that's a gameplan I can get behind!"
514,Simisear,,513,,Fire,,evo,Gluttony,,Blaze,75,98,63,98,63,101,"Fire Stone",,,
46,Paras,,,,Bug,Grass,base,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,,,,
47,Parasect,,46,,Bug,Grass,evo,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,"Level 24",,,
231,Phanpy,,,,Ground,,base,Pickup,,Sand Veil,90,60,60,40,40,40,,,,
232,Donphan,,231,,Ground,,evo,Sturdy,,Sand Veil,90,120,120,60,60,50,"Level 25",,,
708,Phantump,,,,Ghost,Grass,base,Natural Cure,Frisk,Harvest,43,70,48,50,60,38,,,,
709,Trevenant,,708,,Ghost,Grass,evo,Natural Cure,Frisk,Harvest,85,110,76,65,82,56,"Level 28",,,
172,Pichu,,,,Electric,,base,Static,,Lightning Rod,20,40,15,35,35,60,,"Stage 2",,
25,Pikachu,,172,,Electric,,evo,Static,,Lightning Rod,35,55,40,50,50,90,"Level 10","Stage 2",,
26,Raichu,,25,,Electric,,evo,Static,,Lightning Rod,60,90,55,90,80,110,"Thunder Stone","Stage 2",,
26,Mega Raichu X,Mega X,26,,Electric,,evo,Static,,Lightning Rod,60,135,95,90,95,110,"Raichunite X","Stage 2",,
26,Raichu,Alola,25,,Electric,Psychic,evo,Surge Surfer,,,60,85,50,95,85,110,"Sun Stone",,,
731,Pikipek,,,,Normal,Flying,base,Keen Eye,Skill Link,Pickup,35,75,30,30,30,65,,,,
732,Trumbeak,,731,,Normal,Flying,evo,Keen Eye,Skill Link,Pickup,55,85,50,40,50,75,"Level 14",,,
733,Toucannon,,732,,Normal,Flying,evo,Keen Eye,Skill Link,Sheer Force,80,120,75,75,75,60,"Level 28",,,
393,Piplup,,,,Water,,base,Torrent,,Defiant,53,51,53,61,56,40,,,,
394,Prinplup,,393,,Water,,evo,Torrent,,Defiant,64,66,68,81,76,50,"Level 16",,,
395,Empoleon,,394,,Water,Steel,evo,Torrent,,Defiant,84,86,88,111,101,60,"Level 36",,,
77,Ponyta,,,,Fire,,base,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,,,,"Tip: Run Away\nRun Away now functions like Emergency Exit, forcibly switching the Pokémon out once it drops below a 1/4 HP threshold. Rapidash is the only Pokémon in Emerald Blitz who retains access to this useful ability all of the way to its final evolution."
78,Rapidash,,77,,Fire,,evo,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,"Level 40 (Oracle)",,,
311,Plusle and Minun,,,,Electric,,base,Plus,Minus,Lightning Rod,60,50,40,85,75,95,,,,
60,Poliwag,,,,Water,,base,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,,,,
61,Poliwhirl,,60,,Water,,evo,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,"Level 25",,,
62,Poliwrath,,61,,Water,Fighting,evo,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,"Water Stone",,,
186,Politoed,,61,,Water,,evo,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,"King's Rock",,,
261,Poochyena,,,,Dark,,base,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,,,,
262,Mightyena,,261,,Dark,,evo,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,"Level 18",,,
728,Popplio,,,,Water,,base,Torrent,,Liquid Voice,50,54,54,66,56,40,,,,
729,Brionne,,728,,Water,,evo,Torrent,,Liquid Voice,60,69,69,91,81,50,"Level 17",,,
730,Primarina,,729,,Water,Fairy,evo,Torrent,,Liquid Voice,80,74,74,126,116,60,"Level 34",,,
137,Porygon,,,,Normal,,base,Trace,Download,Analytic,65,60,70,85,75,40,,,,
233,Porygon2,,137,,Normal,,evo,Trace,Download,Analytic,85,80,90,105,95,60,"Level 28",,,
474,Porygon-Z,,233,,Normal,,evo,Adaptability,Download,Analytic,85,80,70,135,75,90,"Linking Cord",,,
509,Purrloin,,,,Dark,,base,Limber,Unburden,Prankster,41,50,37,50,37,66,,,,
510,Liepard,,509,,Dark,,evo,Limber,Unburden,Prankster,64,88,50,88,50,106,"Level 20",,,
280,Ralts,,,,Psychic,Fairy,base,Synchronize,Trace,Telepathy,28,25,25,45,35,40,,"Stage 2",,
281,Kirlia,,280,,Psychic,Fairy,evo,Synchronize,Trace,Telepathy,38,35,35,65,55,50,"Level 20","Stage 2",,
282,Gardevoir,,281,,Psychic,Fairy,evo,Synchronize,Trace,Telepathy,68,65,65,125,115,80,"Level 30","Stage 2",,
282,Mega Gardevoir,Mega,282,,Psychic,Fairy,mega,Pixilate,,,68,85,65,165,135,100,Gardevoirite,"Stage 2",,
475,Gallade,,281,,Psychic,Fighting,evo,Steadfast,Sharpness,Justified,68,125,65,65,115,80,"Dawn Stone","Stage 2",,
475,Mega Gallade,Mega,475,,Psychic,Fighting,mega,Inner Focus,,,68,165,95,65,115,110,Galladite,"Stage 2",,
223,Remoraid,,,,Water,,base,Hustle,Sniper,Moody,35,65,35,65,35,65,,,,
224,Octillery,,223,,Water,,evo,Suction Cups,Sniper,Moody,75,105,75,105,75,45,"Level 25",,,
447,Riolu,,,,Fighting,,base,Steadfast,Inner Focus,Prankster,40,70,40,35,40,60,,"Stage 1",,
448,Lucario,,447,,Fighting,Steel,evo,Steadfast,Inner Focus,Justified,70,110,70,115,70,90,"Level 30","Stage 1",,
448,Mega Lucario,Mega,448,,Fighting,Steel,mega,Adaptability,,,70,145,88,140,70,112,Lucarionite,"Stage 1",,
744,Rockruff,,,,Rock,,base,Keen Eye,Vital Spirit,Steadfast,45,65,40,30,40,60,,,,
745,Lycanroc-Midday,Midday,744,,Rock,,evo,Keen Eye,Sand Rush,Steadfast,75,115,65,55,65,112,"Level 25 at day",,,
745,Lycanroc-Midnight,Midnight,744,,Rock,,evo,Keen Eye,Vital Spirit,No Guard,85,115,75,55,75,82,"Level 25 at night",,,
524,Roggenrola,,,,Rock,,base,Sturdy,Weak Armor,Sand Force,55,75,85,25,25,15,,,,
525,Boldore,,524,,Rock,,evo,Sturdy,Weak Armor,Sand Force,70,105,105,50,40,20,"Level 25",,,
526,Gigalith,,525,,Rock,,evo,Sturdy,Sand Stream,Sand Force,85,135,130,60,80,25,"Linking Cord",,,
837,Rolycoly,,,,Rock,,base,Steam Engine,Heatproof,Flash Fire,30,40,50,40,50,30,,,,
838,Carkol,,837,,Rock,Fire,evo,Steam Engine,Flame Body,Flash Fire,80,60,90,60,70,50,"Level 18",,,
839,Coalossal,,838,,Rock,Fire,evo,Steam Engine,Flame Body,Flash Fire,110,80,120,80,90,30,"Level 34",,,
821,Rookidee,,,,Flying,,base,Keen Eye,Unnerve,Big Pecks,38,47,35,33,35,57,,,,
822,Corvisquire,,821,,Flying,,evo,Keen Eye,Unnerve,Big Pecks,68,67,55,43,55,77,"Level 18",,,
823,Corviknight,,822,,Flying,Steel,evo,Pressure,Unnerve,Mirror Armor,98,87,105,53,85,67,"Level 38",,,
479,Rotom,,,,Electric,Ghost,base,Levitate,,,50,50,77,95,77,91,,,,"Unique Mechanic: Rotom Catalog\nRotom transforms with the consumable item Rotom Catalog, available in Fortree City. You're given three Rotom Catalogs. With the ability to change forms after seeing which boss you're about to face, Rotom's versatility is unmatched."
479,Rotom-Heat,Heat,479,,Electric,Fire,evo,Levitate,,,50,65,107,105,107,86,Catalog,,,
479,Rotom-Wash,Wash,479,,Electric,Water,evo,Levitate,,,50,65,107,105,107,86,Catalog,,,
479,Rotom-Mow,Mow,479,,Electric,Grass,evo,Levitate,,,50,65,107,105,107,86,Catalog,,,
479,Rotom-Frost,Frost,479,,Electric,Ice,evo,Levitate,,,50,65,107,105,107,86,Catalog,,,
479,Rotom-Fan,Fan,479,,Electric,Flying,evo,Levitate,,,50,65,107,105,107,86,Catalog,,,
722,Rowlet,,,,Grass,Flying,base,Overgrow,,Long Reach,68,55,55,50,50,42,,,,
723,Dartrix,,722,,Grass,Flying,evo,Overgrow,,Long Reach,78,75,75,70,70,52,"Level 17",,,
724,Decidueye,,723,,Grass,Ghost,evo,Overgrow,,Long Reach,78,107,75,100,100,70,"Level 34 at night",,,
724,Decidueye,Hisui,723,,Grass,Fighting,evo,Overgrow,,Scrappy,88,112,80,95,95,60,"Level 34 at day",,,
302,Sableye,,,,Dark,Ghost,base,Keen Eye,Stall,Prankster,50,75,75,65,65,50,,"base",,"Tip: Early Mega Evolution\nMawile and Sableye are the only two Pokémon in Emerald Blitz who can Mega Evolve before the 7th gym. Their Mega stones are available from the start. However, you won't earn enough money to purchase them until after beating gym 3, since they cost a steep 10,000."
302,Mega Sableye,Mega,302,,Dark,Ghost,mega,Magic Bounce,,,50,85,125,85,115,20,Sablenite,"base",,
757,Salandit,,,,Poison,Fire,base,Corrosion,,Oblivious,48,44,40,71,40,77,,,,
758,Salazzle,,757,,Poison,Fire,evo,Corrosion,,Oblivious,68,64,60,111,60,117,"Level 33",,,
551,Sandile,,,,Ground,Dark,base,Intimidate,Moxie,Anger Point,50,72,35,35,35,65,,,,
552,Krokorok,,551,,Ground,Dark,evo,Intimidate,Moxie,Anger Point,60,82,45,45,45,74,"Level 29",,,
553,Krookodile,,552,,Ground,Dark,evo,Intimidate,Moxie,Anger Point,95,117,80,65,70,92,"Level 40",,,
27,Sandshrew,Alola,,,Ice,Steel,base,Snow Cloak,,Slush Rush,50,75,90,10,35,40,,,,
28,Sandslash,Alola,27,Alola,Ice,Steel,evo,Snow Cloak,,Slush Rush,75,100,120,25,65,65,"Level 22",,,
769,Sandygast,,,,Ghost,Ground,base,Water Compaction,,Sand Veil,55,55,80,70,45,15,,,,
770,Palossand,,769,,Ghost,Ground,evo,Water Compaction,,Sand Veil,85,75,110,100,75,35,"Level 42 (Oracle)",,,
664,Scatterbug,,,,Bug,,base,Shield Dust,Compound Eyes,Friend Guard,38,35,40,27,25,35,,,,
665,Spewpa,,664,,Bug,,evo,Shed Skin,,Friend Guard,45,22,60,27,30,29,"Level 9",,,
666,Vivillon,,665,,Bug,Flying,evo,Shield Dust,Compound Eyes,Friend Guard,80,52,50,90,50,89,"Level 12",,,
123,Scyther,,,,Bug,Flying,base,Swarm,Technician,Steadfast,70,110,80,55,80,105,,"Stage 1",,
900,Kleavor,,123,,Bug,Rock,evo,Swarm,Sheer Force,Sharpness,70,135,95,45,70,85,"King's Rock","Stage 1",,
212,Scizor,,123,,Bug,Steel,evo,Swarm,Technician,Light Metal,70,130,100,55,80,65,"Metal Coat","Stage 1",,
212,Mega Scizor,Mega,212,,Bug,Steel,mega,Technician,,,70,150,140,65,100,75,Scizorite,"Stage 1",,
540,Sewaddle,,,,Bug,Grass,base,Swarm,Chlorophyll,Overcoat,45,53,70,40,60,42,,,,"Tip: Delayed Evolution\nBy delaying Sewaddle's evolution until level 22, it can learn Struggle Bug before gym 3 while still evolving into Swadloon. Otherwise, Swadloon never learns the move."
541,Swadloon,,540,,Bug,Grass,evo,Leaf Guard,Chlorophyll,Overcoat,55,63,90,50,80,42,"Level 20",,,
542,Leavanny,,541,,Bug,Grass,evo,Swarm,Chlorophyll,Overcoat,75,103,80,70,80,92,"Level 30",,,
90,Shellder,,,,Water,,base,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,,,,
91,Cloyster,,90,,Water,Ice,evo,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,"Water Stone",,,
422,Shellos,,,,Water,,base,Sticky Hold,Storm Drain,Sand Force,76,48,48,57,62,34,,,,
423,Gastrodon,,422,,Water,Ground,evo,Sticky Hold,Storm Drain,Sand Force,111,83,68,92,82,39,"Level 30",,,
403,Shinx,,,,Electric,,base,Rivalry,Intimidate,Guts,45,65,34,40,34,45,,,,
404,Luxio,,403,,Electric,,evo,Rivalry,Intimidate,Guts,60,85,49,60,49,60,"Level 15",,,
405,Luxray,,404,,Electric,,evo,Rivalry,Intimidate,Guts,80,120,79,95,79,70,"Level 30",,,
948,Shroodle,,,,Poison,Normal,base,Unburden,Pickpocket,Prankster,40,65,35,40,35,75,,,,"Tip: Doodle\nShroodle's signature move Doodle is something special! Now, when used from the party menu, Grafaiai can choose to swap to one of four abilities randomly selected from the Doodle pool, a collection of the strongest abilities in Emerald Blitz. Happy doodling!\nNotably, Doodle is forgotten once used and cannot be relearned via the Move Relearner.\nThe full Doodle pool includes: Drizzle, Drought, Dry Skin, Effect Spore, Flash Fire, Fluffy, Levitate, Illusion, Intimidate, Protean, Perish Body, Pixilate, Refrigerate, Regenerator, Sap Sipper, Seed Sower, Sheer Force, Sturdy, Tough Claws, and Volt Absorb"
949,Grafaiai,,948,,Poison,Normal,evo,Unburden,Poison Touch,Prankster,63,95,65,80,72,110,"Level 28",,,
285,Shroomish,,,,Grass,,base,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,,,,
286,Breloom,,285,,Grass,Fighting,evo,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,"Level 23",,,
353,Shuppet,,,,Ghost,,base,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,,"Stage 1",,
354,Banette,,353,,Ghost,,evo,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,"Level 37 (Oracle)","Stage 1",,
354,Mega Banette,Mega,354,,Ghost,,mega,Prankster,,,64,165,75,93,83,75,Banettite,"Stage 1",,
672,Skiddo,,,,Grass,,base,Sap Sipper,,Grass Pelt,66,65,48,62,57,52,,,,"Unique Mechanics: Grass Pelt & Milk Drink\nTerrain doesn't exist in Emerald Blitz. Instead, Grass Pelt provides its 50% defense boost in the sun.\nWhen used outside of battle, Milk Drink levels up one other Pokémon, ignoring the level cap.\nEach evolution line can only use Milk Drink once, so choose wisely!"
673,Gogoat,,672,,Grass,,evo,Sap Sipper,,Grass Pelt,123,100,62,97,81,68,"Level 32",,,
451,Skorupi,,,,Poison,Bug,base,Battle Armor,Sniper,Keen Eye,40,50,90,30,55,65,,,,
452,Drapion,,451,,Poison,Dark,evo,Battle Armor,Sniper,Keen Eye,70,90,110,60,75,95,"Level 40 (Oracle)",,,
690,Skrelp,,,,Poison,Water,base,Poison Point,Poison Touch,Adaptability,50,60,60,60,60,30,,"Stage 1",,
691,Dragalge,,690,,Poison,Dragon,evo,Poison Point,Poison Touch,Adaptability,65,75,90,97,123,44,"Level 48 (Oracle)","Stage 1",,
691,Mega Dragalge,Mega,691,,Poison,Dragon,mega,Poison Point,Poison Touch,Adaptability,65,85,105,132,163,44,Dragalgite,"Stage 1",,
287,Slakoth,,,,Normal,,base,Truant,,,60,60,60,35,35,30,,,,
288,Vigoroth,,287,,Normal,,evo,Vital Spirit,,,80,80,80,55,55,90,"Level 18",,,
289,Slaking,,288,,Normal,,evo,Truant,,,150,160,100,95,65,100,"Level 36",,,
79,Slowpoke,Galar,,,Psychic,,base,Gluttony,Own Tempo,Regenerator,90,65,65,40,40,15,,,,
80,Slowbro,Galar,79,Galar,Poison,Psychic,evo,Quick Draw,Own Tempo,Regenerator,95,100,95,100,70,30,"Level 37 (Oracle)",,,
199,Slowking,Galar,79,Galar,Poison,Psychic,evo,Curious Medicine,Own Tempo,Regenerator,95,65,80,110,110,30,"King's Rock",,,
850,Sizzlipede,,,,Fire,Bug,base,Flash Fire,White Smoke,Flame Body,50,65,45,50,50,45,,,,
851,Centiskorch,,850,,Fire,Bug,evo,Flash Fire,White Smoke,Flame Body,100,115,65,90,90,65,"Level 28",,,
928,Smoliv,,,,Grass,Normal,base,Early Bird,,Harvest,41,35,45,58,51,30,,,,"Unique Mechanic: Seed Sower\nTerrain doesn't exist in Emerald Blitz. Instead, Arboliva's Seed Sower ability sets Leech Seed on any Pokemon that attacks it and makes contact."
929,Dolliv,,928,,Grass,Normal,evo,Early Bird,,Harvest,52,53,60,78,78,33,"Level 25",,,
930,Arboliva,,929,,Grass,Normal,evo,Seed Sower,,Harvest,78,69,90,125,109,39,"Level 35",,,
235,Smeargle,,,,Normal,,base,Own Tempo,Technician,Moody,55,20,35,20,45,75,,,,"Unique Mechanic: Sketch\nSmeargle's signature move Sketch is more potent than ever before. Now, when used from the party menu, Smeargle can choose to learn one of four moves randomly selected from the Sketch pool, a collection of the strongest moves in Emerald Blitz. Happy sketching!\nNotably, Sketch is the only move in the game that cannot be relearned via the Move Relearner."
215,Sneasel,,,,Dark,Ice,base,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,,,,
